"0","Bid","intermediary1","","1","1500",""
"0","Bid","intermediary2","","1","1500",""
"0","Bid","intermediary3","","1","1500",""
"0","Bid","hfTrader1","","1","1500",""
"0","Bid","hfTrader2","","1","1500",""
"0","Bid","hfTrader3","","1","1500",""
"0","Bid","fundamentalBuyer1","","1","1520",""
"0","Bid","fundamentalBuyer2","","1","1520",""
"0","Bid","fundamentalSeller1","","1","1520",""
"0","Bid","fundamentalSeller2","","1","1520",""
"0","Bid","opportunisticTrader1","","0","1520",""
"0","Bid","opportunisticTrader2","","0","1520",""
"0","Bid","opportunisticTrader3","","0","1520",""
"0","Bid","opportunisticTrader4","","0","1520",""
"0","Bid","smallTrader1","","0","1520",""
"0","Bid","smallTrader2","","0","1520",""
"0","Bid","smallTrader3","","0","1520",""
"0","Bid","smallTrader4","","0","1520",""
"0","Penalty","intermediary1","","","","0"
"0","Penalty","intermediary2","","","","0"
"0","Penalty","intermediary3","","","","0"
"0","Penalty","hfTrader1","","","","0"
"0","Penalty","hfTrader2","","","","0"
"0","Penalty","hfTrader3","","","","0"
"0","Penalty","fundamentalBuyer1","","","","0"
"0","Penalty","fundamentalBuyer2","","","","0"
"0","Penalty","fundamentalSeller1","","","","0"
"0","Penalty","fundamentalSeller2","","","","0"
"0","Penalty","opportunisticTrader1","","","","0"
"0","Penalty","opportunisticTrader2","","","","0"
"0","Penalty","opportunisticTrader3","","","","0"
"0","Penalty","opportunisticTrader4","","","","0"
"0","Penalty","smallTrader1","","","","0"
"0","Penalty","smallTrader2","","","","0"
"0","Penalty","smallTrader3","","","","0"
"0","Penalty","smallTrader4","","","","0"
"1","Bid","intermediary1","","1","1500",""
"1","Bid","intermediary2","","1","1500",""
"1","Bid","intermediary3","","1","1500",""
"1","Bid","hfTrader1","","1","1500",""
"1","Bid","hfTrader2","","1","1500",""
"1","Bid","hfTrader3","","1","1500",""
"1","Bid","fundamentalBuyer1","","1","1520",""
"1","Bid","fundamentalBuyer2","","1","1520",""
"1","Bid","fundamentalSeller1","","1","1520",""
"1","Bid","fundamentalSeller2","","1","1520",""
"1","Bid","opportunisticTrader1","","0","1520",""
"1","Bid","opportunisticTrader2","","0","1520",""
"1","Bid","opportunisticTrader3","","0","1520",""
"1","Bid","opportunisticTrader4","","0","1520",""
"1","Bid","smallTrader1","","0","1520",""
"1","Bid","smallTrader2","","0","1520",""
"1","Bid","smallTrader3","","0","1520",""
"1","Bid","smallTrader4","","0","1520",""
"2","Bid","intermediary1","","40","1520",""
"2","Bid","intermediary2","","40","1520",""
"2","Bid","intermediary3","","40","1520",""
"2","Bid","hfTrader1","","40","1520",""
"2","Bid","hfTrader2","","40","1520",""
"2","Bid","hfTrader3","","40","1520",""
"2","Bid","fundamentalBuyer1","","1","1540",""
"2","Bid","fundamentalBuyer2","","1","1540",""
"2","Bid","fundamentalSeller1","","1","1540",""
"2","Bid","fundamentalSeller2","","1","1540",""
"2","Offer","opportunisticTrader1","","1","36700",""
"2","Offer","opportunisticTrader2","","1","36700",""
"2","Offer","opportunisticTrader3","","1","36700",""
"2","Offer","opportunisticTrader4","","1","36700",""
"2","Sell","smallTrader1","","1","",""
"2","Sell","smallTrader2","","1","",""
"2","Sell","smallTrader3","","1","",""
"2","Sell","smallTrader4","","1","",""
"2","Trade","fundamentalBuyer1","smallTrader1","1","1540",""
"2","Trade","fundamentalBuyer2","smallTrader1","1","1540",""
"2","Trade","fundamentalSeller1","smallTrader2","1","1540",""
"2","Trade","fundamentalSeller2","smallTrader2","1","1540",""
"2","Trade","fundamentalBuyer1","smallTrader1","1","1540",""
